Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
93,149,67,51,64,148,90,3,0.12000000000000004
93,149,66,51,63,149,90,3,0.12500000000000003
93,149,66,51,65,148,90,3,0.13000000000000003
93,149,66,52,65,148,90,3,0.13500000000000004
93,149,66,52,64,148,90,3,0.14000000000000004
93,149,67,52,64,148,90,3,0.14500000000000005
94,149,67,52,64,148,90,3,0.15000000000000005
94,149,67,52,64,148,92,3,0.15500000000000005
93,149,66,52,63,149,91,3,0.16000000000000006
94,148,66,52,65,148,91,3,0.16500000000000006
92,149,66,52,64,148,90,3,0.17000000000000007
92,149,67,52,64,148,90,3,0.17500000000000007
92,149,67,52,64,148,90,3,0.18000000000000008
92,149,67,52,64,148,91,3,0.18500000000000008
92,149,66,52,63,148,91,3,0.19000000000000009
92,149,66,52,63,148,91,3,0.1950000000000001
91,149,67,52,63,148,91,3,0.2000000000000001
91,149,67,51,62,148,91,3,0.2050000000000001
91,149,67,51,62,148,91,3,0.2100000000000001
92,149,66,51,64,148,91,3,0.2150000000000001
91,149,67,51,63,148,91,3,0.2200000000000001
91,149,67,51,63,148,91,3,0.22500000000000012
90,149,67,51,62,148,91,3,0.23000000000000012
90,149,66,51,64,149,93,3,0.23500000000000013
91,149,67,51,63,148,92,3,0.24000000000000013
90,149,67,51,63,148,92,3,0.24500000000000013
90,149,67,50,63,148,94,3,0.2500000000000001
89,149,67,50,64,149,93,3,0.2550000000000001
89,149,67,50,63,148,92,3,0.2600000000000001
90,149,66,50,63,148,92,3,0.2650000000000001
89,149,66,50,62,148,93,3,0.27000000000000013
89,149,67,50,62,148,93,3,0.27500000000000013
90,149,67,50,62,148,93,3,0.28000000000000014
89,149,66,50,61,148,93,3,0.28500000000000014
89,149,67,50,63,148,93,3,0.29000000000000015
90,148,67,50,62,148,94,3,0.29500000000000015
90,149,68,50,62,148,93,3,0.30000000000000016
89,149,67,50,63,148,93,3,0.30500000000000016
88,149,67,50,62,148,94,3,0.31000000000000016
88,149,68,50,62,148,94,3,0.31500000000000017
88,149,67,50,63,148,94,3,0.3200000000000002
88,149,68,50,62,149,94,3,0.3250000000000002
88,149,68,51,62,148,94,3,0.3300000000000002
88,149,67,51,61,148,94,3,0.3350000000000002
87,149,68,51,61,149,94,3,0.3400000000000002
87,149,68,51,60,148,94,3,0.3450000000000002
86,149,67,51,61,148,94,3,0.3500000000000002
86,149,68,51,61,148,94,3,0.3550000000000002
86,149,68,51,60,148,94,3,0.3600000000000002
86,149,68,51,61,148,94,3,0.3650000000000002
86,148,67,51,61,148,95,3,0.3700000000000002
85,149,67,51,62,148,95,3,0.3750000000000002
84,149,68,50,62,148,95,3,0.3800000000000002
84,149,67,50,62,148,95,3,0.38500000000000023
85,149,68,50,61,148,95,3,0.39000000000000024
83,149,69,50,61,148,95,3,0.39500000000000024
