Dist1,Dist2,Dist3,Dist4,Dist5,Dist6,Dist7,Choice,Velocity
63,91,148,52,149,67,49,8.0,0.2700000000000003
64,107,148,67,149,54,32,2.0,-0.1049999999999998
60,91,148,54,149,69,42,2.0,-0.3
56,78,148,45,149,82,47,8.0,-0.0349999999999997
55,80,148,47,148,85,46,4.0,0.2350000000000003
57,91,148,49,149,91,42,8.0,0.0850000000000001
58,90,146,49,148,91,42,2.0,-0.1149999999999998
52,73,122,57,127,107,50,8.0,-0.2649999999999999
49,67,112,149,102,114,52,4.0,0.0950000000000002
52,77,117,49,81,138,53,8.0,0.2300000000000003
56,92,135,45,95,123,48,3.0,0.3100000000000004
47,97,140,47,59,149,62,4.0,0.6500000000000007
54,115,148,39,46,149,81,8.0,0.3200000000000004
57,125,76,37,44,149,85,0.0,1.786765180256111e-16
57,125,76,37,44,149,85,0.0,1.786765180256111e-16
63,148,56,35,47,149,73,0.0,0.2550000000000003
65,148,53,35,46,148,73,8.0,1.786765180256111e-16
67,148,51,34,47,149,73,3.0,0.2900000000000003
71,149,50,33,46,149,71,8.0,0.6000000000000006
89,148,41,35,68,149,60,0.0,0.2600000000000003
95,148,42,38,82,136,57,8.0,1.786765180256111e-16
95,148,42,38,82,136,57,1.0,1.786765180256111e-16
95,148,42,38,82,136,57,8.0,1.786765180256111e-16
88,148,43,39,80,142,55,4.0,0.1950000000000002
69,148,50,40,67,149,56,8.0,0.1650000000000002
69,148,51,41,70,149,56,3.0,0.0800000000000001
58,148,61,41,57,149,63,8.0,0.2250000000000003
58,148,61,41,57,149,63,4.0,0.0500000000000001
58,148,64,41,51,148,68,8.0,0.0350000000000001
57,148,65,40,52,148,69,3.0,0.1400000000000002
61,149,60,38,135,148,69,8.0,0.4200000000000005
63,148,57,37,123,130,67,3.0,0.2150000000000003
64,149,54,148,107,110,65,8.0,0.2250000000000003
60,148,61,130,76,69,56,4.0,0.1500000000000002
59,140,73,148,63,53,48,8.0,0.2350000000000003
58,141,71,147,63,53,49,2.0,-0.2199999999999999
53,124,91,148,80,69,58,2.0,-0.3
46,104,118,147,99,89,64,2.0,-0.3
42,95,137,148,109,98,66,4.0,0.0700000000000002
47,83,148,148,101,85,71,8.0,0.2800000000000003
